field_1,RefID,Database,Reference,LatDec,LongDec,Site,SiteID,Country,ID,Ecosystem,SiteDescrip,Class,ShoulderSeason,Seas,Year.P,Years,SampleDays,Month.Numbers,SampMonths,Meth,Coll,Occ,GrowSL,CH4An,log.CH4,CH4.Pos,CH4Av,CH4Md,CH4Mx,NEPPer,ERPer,GEPPer,MAAT,MAP,TPer,AveGridTemp,TSoilA,TsoilB,TSoilDepth,WTAv,WTFit,WTMax,WTMin,WTFluc,SoilMoist,SoilMostD,Org,AL,Thaw,PfReg,PfConA,PfTh,pH,Sedge,Sphag,Moss,Trees,Shrubs,Annual.Temp,TotalID,CD_Pcp_An,BIOME,Occ.w,Cell_ID,Long,Lat,Area_Pct,Shp_Area,GLA,ROC,TUN,BOR,WET,PEB,WTU,MAR,BOG,FEN,LAK,LAL,MPL,MYL,MGL,SPL,SYL,SGL,RIV,LAR,SRR,SRP,GLA_L,GLA_H,ROC_L,ROC_H,TUN_L,TUN_H,BOR_L,BOR_H,WET_L,WET_H,PEB_L,PEB_H,WTU_L,WTU_H,MAR_L,MAR_H,BOG_L,BOG_H,FEN_L,FEN_H,LAK_L,LAK_H,LAL_L,LAL_H,MPL_L,MPL_H,MYL_L,MYL_H,MGL_L,MGL_H,SPL_L,SPL_H,SYL_L,SYL_H,SGL_L,SGL_H,RIV_L,RIV_H,LAR_L,LAR_H,SRR_L,SRR_H,SRP_L,SRP_H,WETSCAPE,CD_Tmp_m0,CD_Tmp_m1,CD_Tmp_m2,CD_Tmp_m3,CD_Tmp_m4,CD_Tmp_m5,CD_Tmp_m6,CD_Tmp_m7,CD_Tmp_m8,CD_Tmp_m9,CD_Tmp_m10,CD_Tmp_m11,CD_Tmp_An
"3","2",Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,NA,Palsa complex,Palsa,PermBog,NA,S,"2008","2005",NA,"2",JA,C,"3","500","62",NA,"1.08278537","12.1","2.1",NA,NA,"0.4",NA,NA,"-0.5","310",NA,"6.14",NA,NA,NA,"-40","-25","-30","-50","20",NA,NA,"100",NA,NA,D,P,N,NA,P,P,A,A,D,"-2.86",StordalenPermBog,"693.159","11","2.69983772586725","14993",19.25,68.25,100.00,1153571863.000000000000000,0.12,18.55,57.18,8.53,2.84,0.03,0.00,0.00,1.27,1.54,12.44,11.23,0.17,0.00,0.71,0.00,0.00,0.33,0.34,0.00,0.01,0.33,0.01,2.00,14.97,30.30,33.88,60.57,7.56,15.91,0.00,5.57,0.00,0.14,0.00,1.62,0.00,0.11,0.00,3.44,1.29,5.04,12.03,13.38,10.33,11.24,0.17,0.95,0.00,0.18,0.71,1.28,0.00,0.61,0.00,0.11,0.15,0.69,0.10,0.63,0.00,0.34,0.00,0.01,0.26,0.41,"11",-13.70480000000,-13.79370000000,-10.23070000000,-4.65667000000,1.23964000000,6.97297000000,10.38410000000,8.55444000000,3.73223000000,-2.60111000000,-8.68998000000,-11.53320000000,-2.86057000000
"4","2",Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,NA,Palsa complex,Palsa,PermBog,NA,S,"2008","2003",NA,"2",JA,C,"3","500","62",NA,"1.094121596","12.42","2.42",NA,NA,"0.4",NA,NA,"-0.5","310",NA,"6.14",NA,NA,NA,"-40","-25","-30","-50","20",NA,NA,"100",NA,NA,D,P,N,NA,P,P,A,A,D,"-2.86",StordalenPermBog,"693.159","11","2.69983772586725","14993",19.25,68.25,100.00,1153571863.000000000000000,0.12,18.55,57.18,8.53,2.84,0.03,0.00,0.00,1.27,1.54,12.44,11.23,0.17,0.00,0.71,0.00,0.00,0.33,0.34,0.00,0.01,0.33,0.01,2.00,14.97,30.30,33.88,60.57,7.56,15.91,0.00,5.57,0.00,0.14,0.00,1.62,0.00,0.11,0.00,3.44,1.29,5.04,12.03,13.38,10.33,11.24,0.17,0.95,0.00,0.18,0.71,1.28,0.00,0.61,0.00,0.11,0.15,0.69,0.10,0.63,0.00,0.34,0.00,0.01,0.26,0.41,"11",-13.70480000000,-13.79370000000,-10.23070000000,-4.65667000000,1.23964000000,6.97297000000,10.38410000000,8.55444000000,3.73223000000,-2.60111000000,-8.68998000000,-11.53320000000,-2.86057000000
"5","2",Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,NA,Palsa complex,Palsa,PermBog,NA,S,"2008","2006",NA,"2",JA,C,"3","500","62",NA,"1.115943177","13.06","3.06",NA,NA,"0.4",NA,NA,"-0.5","310",NA,"6.14",NA,NA,NA,"-40","-25","-30","-50","20",NA,NA,"100",NA,NA,D,P,N,NA,P,P,A,A,D,"-2.86",StordalenPermBog,"693.159","11","2.69983772586725","14993",19.25,68.25,100.00,1153571863.000000000000000,0.12,18.55,57.18,8.53,2.84,0.03,0.00,0.00,1.27,1.54,12.44,11.23,0.17,0.00,0.71,0.00,0.00,0.33,0.34,0.00,0.01,0.33,0.01,2.00,14.97,30.30,33.88,60.57,7.56,15.91,0.00,5.57,0.00,0.14,0.00,1.62,0.00,0.11,0.00,3.44,1.29,5.04,12.03,13.38,10.33,11.24,0.17,0.95,0.00,0.18,0.71,1.28,0.00,0.61,0.00,0.11,0.15,0.69,0.10,0.63,0.00,0.34,0.00,0.01,0.26,0.41,"11",-13.70480000000,-13.79370000000,-10.23070000000,-4.65667000000,1.23964000000,6.97297000000,10.38410000000,8.55444000000,3.73223000000,-2.60111000000,-8.68998000000,-11.53320000000,-2.86057000000
"6","2",Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,NA,Palsa complex,Palsa,PermBog,NA,S,"2008","2004",NA,"2",JA,C,"3","500","62",NA,"1.131939295","13.55","3.55",NA,NA,"0.4",NA,NA,"-0.5","310",NA,"6.14",NA,NA,NA,"-40","-25","-30","-50","20",NA,NA,"100",NA,NA,D,P,N,NA,P,P,A,A,D,"-2.86",StordalenPermBog,"693.159","11","2.69983772586725","14993",19.25,68.25,100.00,1153571863.000000000000000,0.12,18.55,57.18,8.53,2.84,0.03,0.00,0.00,1.27,1.54,12.44,11.23,0.17,0.00,0.71,0.00,0.00,0.33,0.34,0.00,0.01,0.33,0.01,2.00,14.97,30.30,33.88,60.57,7.56,15.91,0.00,5.57,0.00,0.14,0.00,1.62,0.00,0.11,0.00,3.44,1.29,5.04,12.03,13.38,10.33,11.24,0.17,0.95,0.00,0.18,0.71,1.28,0.00,0.61,0.00,0.11,0.15,0.69,0.10,0.63,0.00,0.34,0.00,0.01,0.26,0.41,"11",-13.70480000000,-13.79370000000,-10.23070000000,-4.65667000000,1.23964000000,6.97297000000,10.38410000000,8.55444000000,3.73223000000,-2.60111000000,-8.68998000000,-11.53320000000,-2.86057000000
"7","2",Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,NA,Palsa complex,Sphagnum site,Bog,NA,S,"2008","2003",NA,"2",JA,C,"3","500","62",NA,"1.495405563","31.29","21.29",NA,NA,"0.5",NA,NA,"-0.5","310",NA,"6.14",NA,NA,NA,"-20","-20","-14","-24","10",NA,NA,"100","90","50",D,P,N,NA,D,D,A,A,A,"-2.86",StordalenBog,"693.159","11","2.69983772586725","14993",19.25,68.25,100.00,1153571863.000000000000000,0.12,18.55,57.18,8.53,2.84,0.03,0.00,0.00,1.27,1.54,12.44,11.23,0.17,0.00,0.71,0.00,0.00,0.33,0.34,0.00,0.01,0.33,0.01,2.00,14.97,30.30,33.88,60.57,7.56,15.91,0.00,5.57,0.00,0.14,0.00,1.62,0.00,0.11,0.00,3.44,1.29,5.04,12.03,13.38,10.33,11.24,0.17,0.95,0.00,0.18,0.71,1.28,0.00,0.61,0.00,0.11,0.15,0.69,0.10,0.63,0.00,0.34,0.00,0.01,0.26,0.41,"11",-13.70480000000,-13.79370000000,-10.23070000000,-4.65667000000,1.23964000000,6.97297000000,10.38410000000,8.55444000000,3.73223000000,-2.60111000000,-8.68998000000,-11.53320000000,-2.86057000000
"8","2",Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,NA,Palsa complex,Sphagnum site,Bog,NA,S,"2008","2006",NA,"2",JA,C,"3","500","62",NA,"1.60906055","40.65","30.65",NA,NA,"0.5",NA,NA,"-0.5","310",NA,"6.14",NA,NA,NA,"-12","-12","-5","-24","19",NA,NA,"100","90","50",D,P,N,NA,D,D,A,A,A,"-2.86",StordalenBog,"693.159","11","2.69983772586725","14993",19.25,68.25,100.00,1153571863.000000000000000,0.12,18.55,57.18,8.53,2.84,0.03,0.00,0.00,1.27,1.54,12.44,11.23,0.17,0.00,0.71,0.00,0.00,0.33,0.34,0.00,0.01,0.33,0.01,2.00,14.97,30.30,33.88,60.57,7.56,15.91,0.00,5.57,0.00,0.14,0.00,1.62,0.00,0.11,0.00,3.44,1.29,5.04,12.03,13.38,10.33,11.24,0.17,0.95,0.00,0.18,0.71,1.28,0.00,0.61,0.00,0.11,0.15,0.69,0.10,0.63,0.00,0.34,0.00,0.01,0.26,0.41,"11",-13.70480000000,-13.79370000000,-10.23070000000,-4.65667000000,1.23964000000,6.97297000000,10.38410000000,8.55444000000,3.73223000000,-2.60111000000,-8.68998000000,-11.53320000000,-2.86057000000
"9","2",Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,NA,Palsa complex,Sphagnum site,Bog,NA,S,"2008","2004",NA,"2",JA,C,"3","500","62",NA,"1.622628426","41.94","31.94",NA,NA,"0.5",NA,NA,"-0.5","310",NA,"6.14",NA,NA,NA,"-12","-12","0","-20","20",NA,NA,"100","90","50",D,P,N,NA,D,D,A,A,A,"-2.86",StordalenBog,"693.159","11","2.69983772586725","14993",19.25,68.25,100.00,1153571863.000000000000000,0.12,18.55,57.18,8.53,2.84,0.03,0.00,0.00,1.27,1.54,12.44,11.23,0.17,0.00,0.71,0.00,0.00,0.33,0.34,0.00,0.01,0.33,0.01,2.00,14.97,30.30,33.88,60.57,7.56,15.91,0.00,5.57,0.00,0.14,0.00,1.62,0.00,0.11,0.00,3.44,1.29,5.04,12.03,13.38,10.33,11.24,0.17,0.95,0.00,0.18,0.71,1.28,0.00,0.61,0.00,0.11,0.15,0.69,0.10,0.63,0.00,0.34,0.00,0.01,0.26,0.41,"11",-13.70480000000,-13.79370000000,-10.23070000000,-4.65667000000,1.23964000000,6.97297000000,10.38410000000,8.55444000000,3.73223000000,-2.60111000000,-8.68998000000,-11.53320000000,-2.86057000000
"10","2",Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,NA,Palsa complex,Sphagnum site,Bog,NA,S,"2008","2005",NA,"2",JA,C,"3","500","62",NA,"1.634074025","43.06","33.06",NA,NA,"0.5",NA,NA,"-0.5","310",NA,"6.14",NA,NA,NA,"-10","-10","-5","-22","17",NA,NA,"100","90","50",D,P,N,NA,D,D,A,A,A,"-2.86",StordalenBog,"693.159","11","2.69983772586725","14993",19.25,68.25,100.00,1153571863.000000000000000,0.12,18.55,57.18,8.53,2.84,0.03,0.00,0.00,1.27,1.54,12.44,11.23,0.17,0.00,0.71,0.00,0.00,0.33,0.34,0.00,0.01,0.33,0.01,2.00,14.97,30.30,33.88,60.57,7.56,15.91,0.00,5.57,0.00,0.14,0.00,1.62,0.00,0.11,0.00,3.44,1.29,5.04,12.03,13.38,10.33,11.24,0.17,0.95,0.00,0.18,0.71,1.28,0.00,0.61,0.00,0.11,0.15,0.69,0.10,0.63,0.00,0.34,0.00,0.01,0.26,0.41,"11",-13.70480000000,-13.79370000000,-10.23070000000,-4.65667000000,1.23964000000,6.97297000000,10.38410000000,8.55444000000,3.73223000000,-2.60111000000,-8.68998000000,-11.53320000000,-2.86057000000
"11","2",Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,NA,Palsa complex,Eriophorum site,Fen,NA,S,"2008","2004",NA,"2",JA,C,"2","500","62",NA,"2.140589133","138.2258065","128.2258065",NA,NA,"1.1",NA,NA,"-0.5","310",NA,"6.14",NA,NA,NA,"0","0","-5","1","6",NA,NA,"100","60","40",D,A,Y,NA,D,A,A,A,A,"-2.86",StordalenFen,"693.159","11","2.69983772586725","14993",19.25,68.25,100.00,1153571863.000000000000000,0.12,18.55,57.18,8.53,2.84,0.03,0.00,0.00,1.27,1.54,12.44,11.23,0.17,0.00,0.71,0.00,0.00,0.33,0.34,0.00,0.01,0.33,0.01,2.00,14.97,30.30,33.88,60.57,7.56,15.91,0.00,5.57,0.00,0.14,0.00,1.62,0.00,0.11,0.00,3.44,1.29,5.04,12.03,13.38,10.33,11.24,0.17,0.95,0.00,0.18,0.71,1.28,0.00,0.61,0.00,0.11,0.15,0.69,0.10,0.63,0.00,0.34,0.00,0.01,0.26,0.41,"11",-13.70480000000,-13.79370000000,-10.23070000000,-4.65667000000,1.23964000000,6.97297000000,10.38410000000,8.55444000000,3.73223000000,-2.60111000000,-8.68998000000,-11.53320000000,-2.86057000000
"12","2",Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,NA,Palsa complex,Eriophorum site,Fen,NA,S,"2008","2003",NA,"2",JA,C,"2","500","62",NA,"2.142611462","138.8709677","128.8709677",NA,NA,"1.1",NA,NA,"-0.5","310",NA,"6.14",NA,NA,NA,"-2","-2","3","-8","11",NA,NA,"100","60","40",D,A,Y,NA,D,A,A,A,A,"-2.86",StordalenFen,"693.159","11","2.69983772586725","14993",19.25,68.25,100.00,1153571863.000000000000000,0.12,18.55,57.18,8.53,2.84,0.03,0.00,0.00,1.27,1.54,12.44,11.23,0.17,0.00,0.71,0.00,0.00,0.33,0.34,0.00,0.01,0.33,0.01,2.00,14.97,30.30,33.88,60.57,7.56,15.91,0.00,5.57,0.00,0.14,0.00,1.62,0.00,0.11,0.00,3.44,1.29,5.04,12.03,13.38,10.33,11.24,0.17,0.95,0.00,0.18,0.71,1.28,0.00,0.61,0.00,0.11,0.15,0.69,0.10,0.63,0.00,0.34,0.00,0.01,0.26,0.41,"11",-13.70480000000,-13.79370000000,-10.23070000000,-4.65667000000,1.23964000000,6.97297000000,10.38410000000,8.55444000000,3.73223000000,-2.60111000000,-8.68998000000,-11.53320000000,-2.86057000000
